country;region;health_index;obese_rate;suicide_rate;democracies_rate;hdr_rate;life_Exp;gpi;iq_rate;Deaths per 1,000 live births;gdp_usd;Ipc;life_lvl
Ireland;WESTERN EUROPE;553;253;96;9;955;82716;1288;9513;262;84718;116;High
Denmark;WESTERN EUROPE;644;197;107;909;94;81882;1296;9783;313;NaN;118;High
United States;NORTHERN AMERICA;759;362;161;785;926;78203;244;9743;544;61763;298;High
Finland;WESTERN EUROPE;709;222;153;927;938;82351;1439;1012;188;49022;116;High
Sweden;WESTERN EUROPE;649;206;147;926;945;83505;1564;97;215;51329;384;High
Philippines;ASIA (EX. NEAR EAST);457;64;22;662;718;72187;2339;8164;2095;3128;118;High
United Kingdom;WESTERN EUROPE;672;278;79;81;932;82156;1667;9912;362;40867;126;NaN
Colombia;LATIN AMER. & CARIB;532;223;39;648;767;73659;2729;8313;NaN;5213;124;Middle
Latvia;BALTICS;619;236;NaN;731;866;75927;1673;9479;344;18166;140;Middle
Armenia;C.W. OF IND. STATES;618;202;33;549;776;73372;1992;8882;974;4546;153;Middle
Peru;LATIN AMER. & CARIB;549;197;28;609;777;73385;2091;8144;995;6027;107;Middle
Brazil;NaN;512;221;69;686;765;73425;2465;8338;1313;6728;6408;Middle
Argentina;LATIN AMER. & CARIB;544;283;84;681;845;NaN;1911;8663;761;8549;1029;Middle
Thailand;ASIA (EX. NEAR EAST);682;10;88;604;777;7968;2098;8887;741;6978;108;Middle
Lithuania;BALTICS;595;263;261;718;NaN;74293;1724;9589;268;20546;149;Middle
Spain;WESTERN EUROPE;609;238;77;794;904;83912;1603;939;271;26924;110;Middle
Qatar;NEAR EAST;487;351;58;365;848;81559;1533;8078;493;53582;105;Middle
Kazakhstan;C.W. OF IND. STATES;461;NaN;176;308;825;NaN;2071;8889;892;8820;1082;NaN
Mauritius;SUB-SAHARAN AFRICA;397;108;95;808;804;73975;157;8656;148;8404;126;Middle
Ecuador;LATIN AMER. & CARIB;508;199;76;571;759;77894;1988;7826;1115;5516;110;Middle
India;ASIA (EX. NEAR EAST);428;39;127;691;645;67744;2578;7624;2701;1882;177;Middle
Uruguay;LATIN AMER. & CARIB;403;NaN;212;885;817;78505;1795;8759;532;15648;261;Middle
Bangladesh;ASIA (EX. NEAR EAST);355;36;37;599;632;73698;2067;7433;2432;1887;332;Middle
Paraguay;LATIN AMER. & CARIB;NaN;203;6;586;728;70475;1976;8404;1618;5225;124;Middle
Russia;C.W. OF IND. STATES;491;231;NaN;324;824;70116;3275;9629;436;10250;230;Middle
Slovenia;EASTERN EUROPE;678;202;198;754;917;82133;1316;986;176;25260;119;Middle
Saudi Arabia;NEAR EAST;449;354;6;208;854;77905;2288;7636;599;19319;108;Middle
Ukraine;C.W. OF IND. STATES;389;241;216;557;779;68564;2971;9007;NaN;3912;410;Middle
Portugal;WESTERN EUROPE;547;208;115;782;864;8224;1301;9277;273;22233;117;Middle
Lebanon;NaN;334;32;28;384;744;74416;2615;817;597;4977;1611;Middle
Romania;EASTERN EUROPE;457;225;97;643;828;74117;164;8688;563;12692;101;NaN
Azerbaijan;C.W. OF IND. STATES;347;NaN;41;268;756;73488;2437;8481;1732;4122;205;Middle
Iran;ASIA (EX. NEAR EAST);365;258;52;195;783;74556;2687;8001;1114;10593;514;Middle
El Salvador;LATIN AMER. & CARIB;408;246;61;572;673;71475;2231;6963;1108;3888;127;Middle
Kuwait;NEAR EAST;368;379;29;391;806;80264;1739;7864;758;24819;126;Middle
Panama;LATIN AMER. & CARIB;535;227;29;685;815;NaN;1876;79;1234;12244;108;Middle
Egypt;NORTHERN AFRICA;28;32;3;293;707;70159;2342;7632;1665;3280;137;Middle
Kyrgyzstan;C.W. OF IND. STATES;424;166;74;362;697;70484;2028;7909;1567;1175;364;Middle
Albania;EASTERN EUROPE;45;217;43;611;795;76833;1761;8175;876;5334;111;Middle
Mexico;LATIN AMER. & CARIB;57;289;53;557;779;74832;2612;8773;1177;8526;125;Middle
Uganda;SUB-SAHARAN AFRICA;365;53;46;448;544;63638;2309;7642;3186;792;126;Low
Hungary;EASTERN EUROPE;NaN;264;166;65;854;74958;1411;9924;336;15632;1762;Low
Cambodia;ASIA (EX. NEAR EAST);311;39;49;29;594;69896;1882;9975;2205;1502;199;Low
Oman;NEAR EAST;391;27;49;3;814;73935;1889;787;645;15745;110;Low
Bolivia;LATIN AMER. & CARIB;299;202;62;465;718;64928;1989;7653;2072;3018;108;Low
Georgia;C.W. OF IND. STATES;526;217;92;512;812;71587;2065;845;823;4232;176;Low
Jamaica;NaN;318;247;24;713;734;70629;199;7508;1143;4940;126;NaN
Morocco;NORTHERN AFRICA;336;261;72;504;686;74973;1969;6703;1602;3063;113;Low
